Source,/home/echopen/Bureau/GitHub/electronic/kicad/Daugter_boards/DB_Envelope_detector/V2/PCB2/DB_Envelope_detector_V2.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mar. 23 août 2016 17:33:44 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
R1,2800,device,R
C1,10nF,device,C
R2,1000,device,R
R3,330,device,R
R4,330,device,R
C2,1nF,device,C
C3,33nF,device,C
P1,CONN_01X19,conn,CONN_01X19
Q1,2N2222,echopen,2N2222
Q2,2N2907,echopen,2N2907
Q3,2N2907,echopen,2N2907
