Source,/home/echopen/Bureau/GitHub/electronic/kicad/Daugter_boards/DB_TR_switch_TGC/V1_2/PCB2/DB_TRS_TGC_V1_1.sch
Kicad Rev,Eeschema 4.0.4+e1-6308~48~ubuntu16.04.1-stable
Generated Date,ven. 14 oct. 2016 18:11:28 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U2,AD8331,echopen,AD8331
C9,100n,device,C
C4,18n,device,C
C3,22p,device,C
C2,100n,device,C
L1,120n,device,INDUCTOR
P1,SMA,echopen,SMA
R1,274,device,R
C7,100n,device,C
L2,120n,device,INDUCTOR
C8,100n,device,C
C5,100n,device,C
C10,1n,device,C
C11,100n,device,C
C12,100n,device,C
SW1,SWITCH_INV,device,SWITCH_INV
C13,100n,device,C
L5,120n,device,INDUCTOR
L3,120n,device,INDUCTOR
R3,100,device,R
L4,120n,device,INDUCTOR
R4,100,device,R
C14,100n,device,C
C15,100n,device,C
R5,237,device,R
R6,237,device,R
C1,10u,device,C
P2,CONN_01X19,conn,CONN_01X19
P3,CONN_01X02,conn,CONN_01X02
U1,MD0100,echopen,MD0100
W1,TEST_1P,conn,TEST_1P
JP1,JUMPER,device,JUMPER
T1,TRANSFO_6pins,echopen,TRANSFO_6pins
C6,1n,device,C
R2,220,device,R
AOP1,OPA625,echopen,OPA625
D1,BAV99,device,D_Schottky_x2_ACom_AKK
C16,10u,device,C
