Source,/home/echopen/Bureau/GitHub/electronic/kicad/Daugter_boards/DB_Pulser/V3/PCB1/DB_Pulser_V3.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,ven. 26 août 2016 17:28:14 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
P1,CONN_01X19,conn,CONN_01X19
P8,CONN_01X19,conn,CONN_01X19
U1,MD1211,echopen,SOIC_8
U2,TC6320,echopen,SOIC_8
JP1,JUMPER,device,JUMPER
C1,470n,device,C
C2,10n,device,C
C3,10n,device,C
D1,1N4148,device,D
D2,1N4148,device,D
P2,CONN_01X02,conn,CONN_01X02
P4,CONN_01X02,conn,CONN_01X02
P6,CONN_01X02,conn,CONN_01X02
P3,SMA,echopen,SMA
P5,SMA,echopen,SMA
P7,SMA,echopen,SMA
C4,33u (150V),device,CP
