Reference, Value, Footprint, Datasheet
P1,CONN_01X19,Echopen:Header_pin_angled_1x19,
C1,10u,Echopen:CP_small_TH_echopen,
C2,100n,Echopen:C_small_TH_echopen,
P2,CONN_01X08,Echopen:Pin_Header_Straight_1x08,
P3,CONN_01X08,Echopen:Pin_Header_Straight_1x08,
P4,CONN_01X08,Echopen:Pin_Header_Straight_1x08,
P5,CONN_01X04,Echopen:Pin_Header_Straight_1x04,
C3,100u,Echopen:CP_small_TH_echopen,
C4,100n,Echopen:C_small_TH_echopen,
P6,CONN_01X15,Echopen:Pin_Header_Straight_1x15,
P7,CONN_01X15,Echopen:Pin_Header_Straight_1x15,
R1,1k,Echopen:Resistor_TH_common,
Q1,2N2222,Echopen:TO-18_TH_common,
R2,33k,Echopen:Resistor_TH_common,
