Reference, Value, Footprint, Datasheet
"P1","CONN_01X19","Echopen:Header_pin_angled_1x19",""
"C1","100n","Echopen:C_small_TH_echopen",""
"C2","1u","Echopen:CP_small_TH_echopen",""
"P2","SMA","Echopen:SMA",""
"P3","CONN_01X02","Echopen:Socket_1x02",""
"C3","10u (250V)","Echopen:CP_small_TH_echopen",""
"U1","MCP14A0154","Echopen:MSOP-8",""
"C4","100n","Echopen:C_small_TH_echopen",""
"C5","100n","Echopen:C_small_TH_echopen",""
"U2","TC6320","Echopen:SOIC-8",""
"D1","1n4148","Echopen:D_TH_common",""
"D2","1n4148","Echopen:D_TH_common",""
"P5","SMA","Echopen:SMA",""
"P4","SMA","Echopen:SMA",""
"P6","CONN_01X02","Echopen:Socket_1x02",""
"P7","CONN_01X02","Echopen:Socket_1x02",""
"R1","47","",""
