Reference, Value, Footprint, Datasheet
U2,AD8331,Housings_SSOP:SSOP-20_5.3x7.2mm_Pitch0.65mm,
C9,100n,Echopen:C_TH_common,
C4,18n,Echopen:C_TH_common,
C3,22p,Echopen:C_TH_common,
C2,100n,Echopen:C_TH_common,
L1,120n,Echopen:INDUCTOR_TH_common,
P1,SMA,Echopen:SMA,
R1,274,Echopen:Resistor_TH_common,
C7,100n,Echopen:C_TH_common,
L2,120n,Echopen:INDUCTOR_TH_common,
C8,100n,Echopen:C_TH_common,
C5,100n,Echopen:C_TH_common,
C10,1n,Echopen:C_TH_common,
C11,100n,Echopen:C_TH_common,
C12,100n,Echopen:C_TH_common,
SW1,SWITCH_INV,Buttons_Switches_ThroughHole:SW_Micro_SPST,
C13,100n,Echopen:C_TH_common,
L5,120n,Echopen:INDUCTOR_TH_common,
L3,120n,Echopen:INDUCTOR_TH_common,
R3,100,Echopen:Resistor_TH_common,
L4,120n,Echopen:INDUCTOR_TH_common,
R4,100,Echopen:Resistor_TH_common,
C14,100n,Echopen:C_TH_common,
C15,100n,Echopen:C_TH_common,
R5,237,Echopen:Resistor_TH_common,
R6,237,Echopen:Resistor_TH_common,
C1,10u,Echopen:CP_TH_common,
P2,CONN_01X19,Socket_Strips:Socket_Strip_Angled_1x19,
P3,CONN_01X02,Socket_Strips:Socket_Strip_Angled_1x02,
U1,MD0100,TO_SOT_Packages_SMD:SOT89-3_Housing_Handsoldering,
D1,1N4148,Echopen:D_TH_common,
D2,1N4148,Echopen:D_TH_common,
W1,TEST_1P,Measurement_Points:Test_Point_Keystone_5000-5004_Miniature,
JP1,JUMPER,Echopen:Jumper,
T1,TRANSFO_6pins,Echopen:Transfo_6pins,
C6,1n,Echopen:C_TH_common,
R2,220,Echopen:Resistor_TH_common,
AOP1,OPA625,Echopen:SOT-23-6_Handsoldering(OPA625),
