Reference, Value, Footprint, Datasheet
"C9","100n","Echopen:CMS_0603",""
"C4","18n","Echopen:CMS_1206",""
"C3","22p","Echopen:CMS_0603",""
"C2","100n","Echopen:CMS_0603",""
"L1","120n","Echopen:CMS_0603",""
"P1","SMA","Echopen:SMA",""
"R1","274","Echopen:CMS_0603",""
"C7","100n","Echopen:CMS_0603",""
"L2","120n","Echopen:CMS_0603",""
"C8","100n","Echopen:CMS_0603",""
"C5","100n","Echopen:CMS_0603",""
"C10","1n","Echopen:CMS_0603",""
"SW1","SWITCH_INV","Buttons_Switches_ThroughHole:SW_Micro_SPST",""
"C13","100n","Echopen:CMS_0603",""
"L5","120n","Echopen:CMS_0603",""
"L3","120n","Echopen:CMS_0603",""
"R3","100","Echopen:CMS_0603",""
"L4","120n","Echopen:CMS_0603",""
"R4","100","Echopen:CMS_0603",""
"C14","100n","Echopen:CMS_0603",""
"C15","100n","Echopen:CMS_0603",""
"R5","237","Echopen:CMS_0603",""
"R6","237","Echopen:CMS_0603",""
"C1","10u","Echopen:CMS_1206",""
"P2","CONN_01X19","Echopen:Header_pin_angled_1x19",""
"P3","CONN_01X02","Socket_Strips:Socket_Strip_Angled_1x02",""
"U1","MD0100","Echopen:SOT89-3_(MD0100)",""
"W1","TEST_1P","Measurement_Points:Test_Point_Keystone_5000-5004_Miniature",""
"JP1","JUMPER","Echopen:Jumper",""
"T1","TRANSFO_6pins","Echopen:Transfo_6pins(coilcraft)",""
"C6","1n","Echopen:CMS_0603",""
"R2","220","Echopen:CMS_0603",""
"AOP1","OPA625","Echopen:SOT-23-6_Handsoldering(OPA625)",""
"D1","BAV99","Echopen:SOT-23",""
"C16","10u","Echopen:CMS_1206",""
"U2","AD8332","Echopen:TSSOP-28(AD8332)",""
"C12","100n","Echopen:CMS_0603",""
"C11","100n","Echopen:CMS_0603",""
"R7","0","Echopen:Resistor_TH_common",""
"C17","100n","Echopen:CMS_0603",""
"C20","18n","Echopen:CMS_1206",""
"C22","22p","Echopen:CMS_0603",""
"C24","100n","Echopen:CMS_0603",""
"R8","274","Echopen:CMS_0603",""
"C19","100n","Echopen:CMS_0603",""
"C18","100n","Echopen:CMS_0603",""
"C21","100n","Echopen:CMS_0603",""
"C23","100n","Echopen:CMS_0603",""
"L8","120n","Echopen:CMS_0603",""
"L6","120n","Echopen:CMS_0603",""
"R9","100","Echopen:CMS_0603",""
"L7","120n","Echopen:CMS_0603",""
"R10","100","Echopen:CMS_0603",""
"C25","100n","Echopen:CMS_0603",""
"C26","100n","Echopen:CMS_0603",""
"R11","237","Echopen:CMS_0603",""
"R12","237","Echopen:CMS_0603",""
"T2","TRANSFO_6pins","Echopen:Transfo_6pins(coilcraft)",""
