SHOPPING BASKET,,,,,,,,,,,,
This is not an invoice,,,,,,,,,,,,
mars 21, 2017 05:38:53,,,,,,,,,,,
,Mouser No,Mfr. No,Manufacturer,Customer No,Description ,RoHS,Lifecycle,Order Qty.,Price (EUR),Ext.: (EUR),,
1,700-MAX4940EVKIT+,MAX4940EVKIT+,Maxim Integrated,,Power Management IC Development Tools MAX4940 EVAL KIT,RoHS Compliant,,1,49,4,49,4
2,584-AD8331-EVALZ,AD8331-EVALZ,Analog Devices Inc.,,Amplifier IC Development Tools AD8331 Eval Board,RoHS Compliant,,1,86,84,86,84
3,538-22-15-2026,22-15-2026,Molex,,Headers & Wire Housings 2.54MM BOARD CONN RA 2 CKT Tin,RoHS Compliant,,7,0,157,1,99
4,530-142-0701-801,142-0701-801,Cinch Connectivity Solutions,,"RF Connectors / Coaxial Connectors PC END MT JCK GLD .062"" BOARD THICK",RoHS Compliant,,7,3,22,22,54
5,534-5000,5000,Keystone Electronics,,Circuit Board Hardware - PCB TEST POINT RED,RoHS Compliant,,1,0,304,0,304
6,538-22-28-8200,22-28-8200,Molex,,Headers & Wire Housings 2.54MM BREAKAWAY RA 20 CKT Tin,RoHS Compliant,,7,0,941,6,587
7,538-22-15-2086,22-15-2086,Molex,,Headers & Wire Housings 8 POS RT ANGLE PCB,RoHS Compliant,,1,1,1,1,1
8,926-LM555CN/NOPB,LM555CN/NOPB,Texas Instruments,,Timers & Support Products TIMER,RoHS Compliant,,2,0,981,1,962
9,689-MD0100N8-G,MD0100N8-G,Microchip,,Switch ICs - Various HIGH VOLTAGE PROTECT T/R SWITCH,RoHS Compliant,,3,1,1,5,5
10,595-OPA625IDBVT,OPA625IDBVT,Texas Instruments,,Precision Amplifiers SAR ADC Driver w/Power Scaling,RoHS Compliant,New Product,1,2,56,2,56
11,619-350-00001,350-00001,Parallax,,Standard LEDs - Through Hole Green LED,RoHS Compliant,,1,0,462,0,462
12,511-BAT48,BAT48,STMicroelectronics,,Schottky Diodes & Rectifiers 350mA 40 Volt,RoHS Compliant,,1,0,321,0,321
13,512-1N4148,1N4148,Fairchild Semiconductor,,Diodes - General Purpose,RoHS Compliant,,17,0,18,0,306
14,652-RLB0608-100KL,RLB0608-100KL,Bourns,,Fixed Inductors 10uH 10% 550mA,RoHS Compliant,,1,0,237,0,237
15,926-LM2940CT-5.0NOPB,LM2940CT-5.0/NOPB,Texas Instruments,,LDO Voltage Regulators 1A LDO REG,RoHS Compliant,,1,1,45,1,45
16,926-LM1117T-3.3/NOPB,LM1117T-3.3/NOPB,Texas Instruments,,LDO Voltage Regulators 800MA LDO LINEAR REG,RoHS Compliant,,1,1,32,1,32
17,926-LM2990T-12/NOPB,LM2990T-12/NOPB,Texas Instruments,,LDO Voltage Regulators NEG LDO REG,RoHS Compliant,,1,2,88,2,88
18,926-LM2990T-5.0/NOPB,LM2990T-5.0/NOPB,Texas Instruments,,LDO Voltage Regulators NEG LDO REG,RoHS Compliant By Exemption,,1,2,88,2,88
19,992-ARD-NANO30NP,ARD-NANO30NP,Arduino,,Development Boards & Kits - AVR Arduino Nano 3.1 W/ATMEGA328 NO-PIN,RoHS Compliant,,1,29,3,29,3
20,926-LM2940T-12.0NOPB,LM2940T-12.0/NOPB,Texas Instruments,,LDO Voltage Regulators 1A LDO REG,RoHS Compliant,,1,1,48,1,48
21,610-2N2222,2N2222,Central Semiconductor,,Bipolar Transistors - BJT NPN Silicon,RoHS Compliant,,8,1,7,10,2
22,610-2N2907A,2N2907A,Central Semiconductor,,Bipolar Transistors - BJT PNP Gen Pur SS,RoHS Compliant,,4,1,7,3,4
23,603-CFR-25JB-52-220R,CFR-25JB-52-220R,Yageo,,Carbon Film Resistors - Through Hole 1/4W 220 Ohm 5% 250 Volts,RoHS Compliant,,1,0,94,0,94
24,660-MF1/4LCT52R271J,MF1/4LCT52R271J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 270 OHM 5%,RoHS Compliant,,1,0,101,0,101
25,660-MF1/4LCT52R331J,MF1/4LCT52R331J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 330 OHM 5%,RoHS Compliant,,1,0,101,0,101
26,603-MFR-25FRF521K5,MFR-25FRF52-1K5,Yageo,,Metal Film Resistors - Through Hole 1.5K ohm 1/4W 1%,RoHS Compliant By Exemption,,4,0,94,0,376
27,660-MF1/4LCT52R182G,MF1/4LCT52R182G,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 1.8K OHM 2%,RoHS Compliant,,2,0,101,0,202
28,660-MF1/4LCT52R222J,MF1/4LCT52R222J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 2.2K OHM 5%,RoHS Compliant,,2,0,101,0,202
29,660-MF1/4LCT52R332J,MF1/4LCT52R332J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 3.3K OHM 5%,RoHS Compliant,,2,0,101,0,202
30,660-MF1/4LCT52R392J,MF1/4LCT52R392J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 3.9K OHM 5%,RoHS Compliant,,1,0,101,0,101
31,660-MF1/4LCT52R123J,MF1/4LCT52R123J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 12K OHM 5%,RoHS Compliant,,2,0,101,0,202
32,660-MF1/4LCT52R333J,MF1/4LCT52R333J,KOA Speer,,Metal Film Resistors - Through Hole 1/4 WATT 33K OHM 5%,RoHS Compliant,,1,0,101,0,101
33,140-REA330M2CBK1320P,REA330M2CBK-1320P,Lelon,,Aluminium Electrolytic Capacitors - Leaded 160V 33uF 20% 12.5x20mm,RoHS Compliant,Factory Special Order,1,0,356,0,356
34,647-UVR2C4R7MED1TD,UVR2C4R7MED1TD,Nichicon,,Aluminium Electrolytic Capacitors - Leaded 4.7uF 160V 85c,RoHS Compliant,,1,0,255,0,255
35,647-UVR1E100MDD6,UVR1E100MDD6,Nichicon,,Aluminium Electrolytic Capacitors - Leaded 10uF 25 Volts 20%,RoHS Compliant,New Product,3,0,264,0,792
36,647-UMA1E4R7MDD,UMA1E4R7MDD,Nichicon,,Aluminium Electrolytic Capacitors - Leaded 25volts 4.7uF 4x5 20% 1.5LS,RoHS Compliant,,11,0,9,0,99
37,647-UVR1E470MDD6,UVR1E470MDD6,Nichicon,,Aluminium Electrolytic Capacitors - Leaded 47uF 25 Volts 20%,RoHS Compliant,New Product,8,0,174,1,392
38,598-107CKS035M,107CKS035M,Cornell Dubilier,,Aluminium Electrolytic Capacitors - Leaded 100uF 35V 20%,RoHS Compliant,New Product,2,0,226,0,452
39,598-227CKS025MGM,227CKS025MGM,Cornell Dubilier,,Aluminium Electrolytic Capacitors - Leaded 220uF 25 Volts 20% LYTICS/IC,RoHS Compliant,New At Mouser,1,0,94,0,94
40,594-S100K25SL0N63L6R,S100K25SL0N63L6R,Vishay,,Ceramic Disc Capacitors Radial 10pF 1Kvolts Z5P +/-10%,RoHS Compliant By Exemption,,1,0,141,0,141
41,581-SR151C102KAA,SR151C102KAA,AVX,,Multilayer Ceramic Capacitors MLCC - Leaded 100volts 1000pF 10% X7R,RoHS Compliant,,2,0,94,0,188
42,594-K103K15X7RF5UH5,K103K15X7RF5UH5,Vishay,,Multilayer Ceramic Capacitors MLCC - Leaded .01uF 50volts 10% 5.0mm X7R,RoHS Compliant,,2,0,94,0,188
43,75-1C10Z5U473M050B,1C10Z5U473M050B,Vishay,,Multilayer Ceramic Capacitors MLCC - Leaded 47000pF 50V Z5U 20% 2.5mm LS,RoHS Compliant,,2,0,94,0,188
44,21RZ310-RC,21RZ310-RC,Xicon,,Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S,RoHS Compliant,,2,0,86,0,172
45,71-CCF071K00JKE36,CCF071K00JKE36,Vishay,,Metal Film Resistors - Through Hole 1/4watt 1Kohms 5% Rated to 1/2watt,RoHS Compliant,,1,0,94,0,94
46,598-226KXM063M ,,,,condo 22uF,,,1,0,66,0,66
47,603-CFR-25JR-52-680R ,,,,Resistance 680 Ohm,,,2,0,984,0,1968
,,,,,,,,,,,,
"By submitting your order you agree
to these terms and conditions.",,,,,,,,,Merchandise Total:,238,6548,
Prices are reflected at the date and time shown.,,,,,,,,,Delivery Charge:,0,00 €,
,,,,,,,,,Back-order Delivery:,0,00 €,
