Source,/home/echopen/Bureau/GitHub/PRJ-medtec_kit/modules/todo-tgc/MDL-tgc_v1_1/src/MDL-tgc_v1_1.sch
Kicad Rev,Eeschema 4.0.4+e1-6308~48~ubuntu16.04.1-stable
Generated Date,jeu. 03 nov. 2016 18:35:36 CET

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U1,AD8331,echopen,AD8331
C8,100n,device,C
C4,18n,device,C
C3,22p,device,C
C2,100n,device,C
L1,120n,device,INDUCTOR
P1,SMA,echopen,SMA
R1,274,device,R
C6,100n,device,C
L2,120n,device,INDUCTOR
C7,100n,device,C
C5,100n,device,C
C9,1n,device,C
C10,100n,device,C
C11,100n,device,C
SW1,SWITCH_INV,device,SWITCH_INV
C12,100n,device,C
L5,120n,device,INDUCTOR
L3,120n,device,INDUCTOR
R2,100,device,R
L4,120n,device,INDUCTOR
R3,100,device,R
C13,100n,device,C
C14,100n,device,C
T1,T1:1,device,TRANSFO4
P2,SMA,echopen,SMA
R4,237,device,R
R5,237,device,R
C1,10u,device,CP
