Source,/home/echopen/Bureau/GitHub/electronic/kicad/Modules/MDL_High_Voltage_Circuit/V1/MDL_HVC_V1.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mer. 17 août 2016 16:00:08 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U1,LM555N,linear,LM555N
C1,10n,device,C
R2,12k,device,R
R1,2.2k,device,R
C2,47n,device,C
R3,3.3k,device,R
R4,1.8k,device,R
C3,47u,device,CP
D1,1N4001,device,D
C4,4.7u,device,CP
D2,1N5062,device,D
C5,4.7u,device,CP
D3,1N5062,device,D
C6,4.7u,device,CP
D4,1N5062,device,D
C7,4.7u,device,CP
D5,1N5062,device,D
C8,4.7u,device,CP
D6,1N5062,device,D
C9,4.7u,device,CP
D7,1N5062,device,D
C10,4.7u,device,CP
D8,1N5062,device,D
C11,4.7u,device,CP
D9,1N5062,device,D
C12,4.7u,device,CP
D10,1N5062,device,D
C13,4.7u,device,CP
D11,1N5062,device,D
D12,1N4001,device,D
C14,4.7u,device,CP
Q1,2N2222,echopen,2N2222
Q2,2N2222,echopen,2N2222
Q3,2N2907,echopen,2N2907
